id: 25e50976-6ae1-4905-a0b1-76cde53cdb01, total_duration_in_sec: 2478.339, numFiles_prod_in_sec: 2445, numFiles_temp_in_sec: 1560
id: 282aaf47-84a6-4a9f-ac33-2c3b3e42dcc5, total_duration_in_sec: 2650.067, numFiles_prod_in_sec: 2640, numFiles_temp_in_sec: 1650
id: 3585e59e-ab58-49e1-8e07-2df39a3addbe, total_duration_in_sec: 901.15, numFiles_prod_in_sec: 885, numFiles_temp_in_sec: 75
id: 4a754c40-569e-4560-a745-a415c613970e, total_duration_in_sec: 4136.639, numFiles_prod_in_sec: 4125, numFiles_temp_in_sec: 3330
id: 4ceaf161-2ac0-4039-987a-fdcc7566788d, total_duration_in_sec: 1144.328, numFiles_prod_in_sec: 1125, numFiles_temp_in_sec: 225
id: 4d83bbf4-11da-4abe-ae13-eb0cd35286ad, total_duration_in_sec: 3399.711, numFiles_prod_in_sec: 3345, numFiles_temp_in_sec: 2520
id: 4d8d887b-e42b-420a-8982-3bdef23409fd, total_duration_in_sec: 5345.452, numFiles_prod_in_sec: 5325, numFiles_temp_in_sec: 4335
id: 4f680e7b-032b-49ef-857b-62346883fd7f, total_duration_in_sec: 3855.122, numFiles_prod_in_sec: 3840, numFiles_temp_in_sec: 2925
id: 4f7f272d-ff4e-4de0-b6f7-7e6c26d00232, total_duration_in_sec: 1258.086, numFiles_prod_in_sec: 1245, numFiles_temp_in_sec: 210
id: 51375edd-3398-4b35-a298-46ef7c0baaa7, total_duration_in_sec: 5406.853, numFiles_prod_in_sec: 5340, numFiles_temp_in_sec: 4350
id: 529039aa-3802-4b4f-982f-a0ebb5b6a217, total_duration_in_sec: 1243.344, numFiles_prod_in_sec: 1230, numFiles_temp_in_sec: 195
id: 533aa68e-0d71-4d49-9168-ada639d84c40, total_duration_in_sec: 1147.918, numFiles_prod_in_sec: 1125, numFiles_temp_in_sec: 375
id: 5a5b73bf-3fa9-43e4-9b2e-00114fca0533, total_duration_in_sec: 1748.258, numFiles_prod_in_sec: 1725, numFiles_temp_in_sec: 450
id: 5a820f14-7182-4d59-9db3-c602a78c2b9c, total_duration_in_sec: 1396.91, numFiles_prod_in_sec: 1380, numFiles_temp_in_sec: 540
id: 5b324845-5bbf-427e-9bac-cefa7805854b, total_duration_in_sec: 1181.278, numFiles_prod_in_sec: 1170, numFiles_temp_in_sec: 90
id: 5ba8c68d-ad0b-4375-87bf-d0fb91de370f, total_duration_in_sec: 4535.524, numFiles_prod_in_sec: 4500, numFiles_temp_in_sec: 3570
id: 5c3e4336-2e92-46fc-8ad6-d56ac78e7bf3, total_duration_in_sec: 3182.95, numFiles_prod_in_sec: 3165, numFiles_temp_in_sec: 1800
id: 5e202694-fb5f-4081-a364-de3c453a1fef, total_duration_in_sec: 2691.57, numFiles_prod_in_sec: 2670, numFiles_temp_in_sec: 1155
id: 5f242b1a-8870-4b98-9f46-1633e81896a2, total_duration_in_sec: 3660.669, numFiles_prod_in_sec: 3615, numFiles_temp_in_sec: 2820
id: 6017fecf-6a4e-451f-9c94-911299782d44, total_duration_in_sec: 1799.856, numFiles_prod_in_sec: 1785, numFiles_temp_in_sec: 255
id: 61475049-9676-4845-9523-469725d96f85, total_duration_in_sec: 5027.692, numFiles_prod_in_sec: 5010, numFiles_temp_in_sec: 3705
id: 62669f2c-aabc-4c6b-b4a6-80d31f462bbc, total_duration_in_sec: 3079.195, numFiles_prod_in_sec: 3060, numFiles_temp_in_sec: 2265
id: 6292c763-9e07-4523-8819-fbec7b6a8a64, total_duration_in_sec: 1391.262, numFiles_prod_in_sec: 1380, numFiles_temp_in_sec: 195
id: 634ec911-704e-4379-b4f0-55409786244f, total_duration_in_sec: 2825.531, numFiles_prod_in_sec: 2790, numFiles_temp_in_sec: 1740
id: 642ae4b5-5940-4220-9312-fd67f9cc5742, total_duration_in_sec: 2159.319, numFiles_prod_in_sec: 2130, numFiles_temp_in_sec: 405
id: 64c88245-d92d-4694-ab21-83b5a3c8524b, total_duration_in_sec: 1666.858, numFiles_prod_in_sec: 1500, numFiles_temp_in_sec: 450
id: 6555afc8-db81-4311-a0c0-fa73c8271212, total_duration_in_sec: 10992.798, numFiles_prod_in_sec: 10980, numFiles_temp_in_sec: 10125
id: 6602632d-a740-4d93-89e9-aebc5bf7bf6c, total_duration_in_sec: 2733.198, numFiles_prod_in_sec: 2700, numFiles_temp_in_sec: 1785
id: 68158d82-8720-4b07-a4a7-f19814e07af9, total_duration_in_sec: 3706.227, numFiles_prod_in_sec: 3690, numFiles_temp_in_sec: 2010
id: 6990022c-47e4-4927-910e-b67a067b495a, total_duration_in_sec: 2030.321, numFiles_prod_in_sec: 2010, numFiles_temp_in_sec: 870
id: 69cb171e-099e-4598-b38a-228aec399032, total_duration_in_sec: 1290.513, numFiles_prod_in_sec: 1275, numFiles_temp_in_sec: 105
id: 69eec01b-a0d4-4e50-84c2-0e564d36f2f1, total_duration_in_sec: 2544.646, numFiles_prod_in_sec: 2505, numFiles_temp_in_sec: 1680
id: 6a2cf953-6ec1-463e-a366-0e767f5eb656, total_duration_in_sec: 1305.501, numFiles_prod_in_sec: 1290, numFiles_temp_in_sec: 450
id: 6b147a63-73e4-4f24-8ec6-a504e5dcaeed, total_duration_in_sec: 2728.817, numFiles_prod_in_sec: 2685, numFiles_temp_in_sec: 1710
id: 6b4585e3-0197-4443-aec7-8069f440c53b, total_duration_in_sec: 4571.039, numFiles_prod_in_sec: 4560, numFiles_temp_in_sec: 3285
id: 6bfe3d77-5e11-4f9c-972d-34cfff5b4868, total_duration_in_sec: 1333.341, numFiles_prod_in_sec: 1320, numFiles_temp_in_sec: 405
id: 6d34c0b4-c009-49a8-bd4d-1923a5fb370a, total_duration_in_sec: 1168.02, numFiles_prod_in_sec: 1155, numFiles_temp_in_sec: 195
id: 6d848717-aaf6-4106-8ec7-bffb0c30d953, total_duration_in_sec: 5209.041, numFiles_prod_in_sec: 5190, numFiles_temp_in_sec: 3450
id: 6e1a5e2d-a2d2-4a34-950a-0cafc138fe8e, total_duration_in_sec: 3149.611, numFiles_prod_in_sec: 3135, numFiles_temp_in_sec: 1395
id: 6e7d1401-b6b6-426a-ace1-5c65a375f8f7, total_duration_in_sec: 5034.316, numFiles_prod_in_sec: 4980, numFiles_temp_in_sec: 4155
id: 6ecbc64a-3579-4b0f-a90a-81d3f03645e9, total_duration_in_sec: 5624.231, numFiles_prod_in_sec: 5580, numFiles_temp_in_sec: 4815
id: 6fe43251-31f3-4110-9ab1-e0664a0d1891, total_duration_in_sec: 3804.741, numFiles_prod_in_sec: 3780, numFiles_temp_in_sec: 2175
id: 7065efe4-aaee-4c8d-aaeb-8c46df3ba3ae, total_duration_in_sec: 1033.271, numFiles_prod_in_sec: 1020, numFiles_temp_in_sec: 255
id: 7092cb26-2cb2-4f78-a6dc-e8d573e5c55a, total_duration_in_sec: 10303.161, numFiles_prod_in_sec: 10155, numFiles_temp_in_sec: 8985
